registration_year,university_name,university_director_post,university_director_fio
1994,"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",В.о. ректора,Лебідь Володимир Володимирович
1966,Луцький національний технічний університет,Ректор,Вахович Ірина Михайлівна
1992,"Приватний вищий навчальний заклад ""Донецький університет економіки та права""",Ректор,Берсуцька Світлана Яківна
1958,"Державний вищий навчальний заклад ""Нововолинський електромеханічний коледж""",Директор,Танасієнко Олександр Васильович
1955,"Відокремлений структурний підрозділ ""Горохівський фаховий коледж Львівського національного університету природокористування""",Виконувач обов'язки директора,Жельчик Олег Миколайович
